"","TIMESTAMP","Record","Air_Temp...Deg.C...Smp.","Grass_Temp...Deg.C...Smp.","Soil_Temp_2in...Deg.C...Smp.","Soil_Temp_4in...Deg.C...Smp.","Air_Temp_Max...Deg.C...Max.","Air_Temp_Min...Deg.C...Min.","Grass_Temp_Max...Deg.C...Max.","Grass_Temp_Min...Deg.C...Min.","Rain_mm_Tot...mm...Tot.","Month","Year"
"91","01/04/2010 09:00",113,5.771,9.8,4.618,3.603,5.771,0.734,10.04,-0.254,2.4,4,2010
"92","02/04/2010 09:00",114,6.885,8.47,6.844,6.308,8.86,2.761,16.12,0.69,3.2,4,2010
"93","03/04/2010 09:00",115,6.113,10.43,6.927,6.103,9.95,2.736,14.95,3.346,8.3,4,2010
"94","04/04/2010 09:00",116,6.237,7.472,7.897,7.357,10.28,4.238,17.04,4.797,1.9,4,2010
"95","05/04/2010 09:00",117,8.25,9.41,7.198,6.565,10.83,1.005,19.13,1.258,0,4,2010
"96","06/04/2010 09:00",118,11.28,15.04,8.51,7.431,12.02,3.76,17.08,2.566,0,4,2010
"97","07/04/2010 09:00",119,8.39,9.82,8.36,7.833,14.36,4.647,20.62,5.197,0.1,4,2010
"98","08/04/2010 09:00",120,9.27,16.33,7.984,6.473,10.09,-0.732,16.35,-0.134,0.2,4,2010
"99","09/04/2010 09:00",121,12.4,20.3,9.64,7.847,15.54,-0.529,26.97,0.708,0,4,2010
"100","10/04/2010 09:00",122,12.4,19.21,11.01,9.37,17.07,1.513,29.75,2.874,0,4,2010
"101","11/04/2010 09:00",123,7.499,12.64,9.35,8.41,16.59,2.024,27.98,3.347,0,4,2010
"102","12/04/2010 09:00",124,7.221,14.43,9.22,8.5,13.47,4.51,23.99,4.443,0,4,2010
"103","13/04/2010 09:00",125,9.27,16.36,8.92,7.806,13.07,2.298,24.02,1.251,0,4,2010
"104","14/04/2010 09:00",126,6.749,10.21,7.903,8.02,13.85,5.185,26.2,5.717,0,4,2010
"105","15/04/2010 09:00",127,7.5,15.86,7.779,7.2,11.51,2.4,18.27,1.076,0,4,2010
"106","16/04/2010 09:00",128,7.902,12.44,9.55,8.31,12.72,-0.395,26.33,0.442,0,4,2010
"107","17/04/2010 09:00",129,7.906,19.88,10.04,8.35,12.86,-3.284,27.68,-1.617,0,4,2010
"108","18/04/2010 09:00",130,11.65,22.37,10.34,8.63,16.46,-2.299,31.69,-0.685,0,4,2010
"109","19/04/2010 09:00",131,10.76,20.1,11.94,10.63,17.82,2.189,33.27,2.982,0,4,2010
"110","20/04/2010 09:00",132,9.67,20.69,10.98,9.73,16.67,0.215,32.39,1.324,0.1,4,2010
"111","21/04/2010 09:00",133,7.051,19.32,9.98,8.61,13.67,-1.684,29.55,-1.047,0,4,2010
"112","22/04/2010 09:00",134,8.38,21.49,10.37,8.87,11.84,-2.846,30.72,-0.827,0,4,2010
"113","23/04/2010 09:00",135,10.35,22.05,10.97,9.35,13.4,-3.05,31.54,-0.828,0,4,2010
"114","24/04/2010 09:00",136,12.19,23.16,11.85,10.24,16.8,-2.503,34.16,-0.57,0,4,2010
"115","25/04/2010 09:00",137,11.31,15.78,12.82,12.03,18.84,7.56,34.38,8.24,2.2,4,2010
"116","26/04/2010 09:00",138,11.07,13.02,11.92,11.52,17.04,4.636,31.57,5.118,1,4,2010
"117","27/04/2010 09:00",139,15.18,25.36,14.22,12,17.38,2.054,33.2,3.498,0,4,2010
"118","28/04/2010 09:00",140,15.59,22.03,13.96,12.42,19.24,3.077,37.32,4.928,0,4,2010
"119","29/04/2010 09:00",141,13.74,17.21,14.22,13.36,19.79,5.725,33.88,7.305,0,4,2010
"120","30/04/2010 09:00",142,11.54,21.21,14.83,13.19,16.66,6.134,29.94,7.036,2.5,4,2010
"456","01/04/2011 09:00",478,11.22,11.47,10.68,10.56,15.64,10.33,18.06,9.54,0,4,2011
"457","02/04/2011 09:00",479,13.87,13.6,11.32,10.83,14.89,9.59,18.6,8.35,0,4,2011
"458","03/04/2011 09:00",480,9.83,11.8,9.17,8.87,16.69,0.685,19.65,4.817,0,4,2011
"459","04/04/2011 09:00",481,8.91,10.52,8.61,8.28,13.73,2.448,18.85,3.942,0,4,2011
